2022-03-01 09:07:39.948;2022-03-01 09:22:57.219; Duration: 0:15:18;stackAPI-Ansible_AsVnf.860cb-  TASK [Remove app state file]
2022-03-01 09:23:28.615;2022-03-01 09:24:06.340; Duration: 0:00:38;stackAPI-Ansible_upgrade_all.65e45-  TASK [Fetch message log files]
2022-03-01 09:24:27.978;2022-03-01 09:25:00.334; Duration: 0:00:33;stackAPI-Ansible_upgrade_all.e3539-  TASK [Generate ISO file - ASTL5HOST3-EM1S1-cidata.iso]
2022-03-01 09:25:03.540;2022-03-01 09:25:38.802; Duration: 0:00:35;stackAPI-Ansible_upgrade_all.837eb-  TASK [Copy image to /var/lib/libvirt/images/ASTL5HOST3-EM1S1]
2022-03-01 09:25:41.841;2022-03-01 09:26:34.454; Duration: 0:00:53;stackAPI-Ansible_upgrade_all.1de23-  TASK [Upload /resources/images/MCP-22.0.0.0.4184.qcow2 to /var/lib/libvirt/images/tmp. This may take some time.]
2022-03-01 09:26:49.833;2022-03-01 09:27:29.512; Duration: 0:00:40;stackAPI-Ansible_upgrade_all.1de23-  TASK [Copy MCP-22.0.0.0.4184.qcow2 image to ASTL5HOST3-EM1S1 VM dir on kvm_provider_access_ASTL53 host]
2022-03-01 09:27:53.251;2022-03-01 09:28:26.494; Duration: 0:00:33;stackAPI-Ansible_upgrade_all.1de23-  TASK [Successfully started the VM : ASTL5HOST3-EM1S1]
2022-03-01 09:28:26.494;2022-03-01 09:29:33.849; Duration: 0:01:07;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Wait for system to become reachable]
2022-03-01 09:30:33.763;2022-03-01 09:32:39.679; Duration: 0:02:06;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 09:32:45.935;2022-03-01 09:34:51.901; Duration: 0:02:06;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 09:34:57.369;2022-03-01 09:37:02.475; Duration: 0:02:05;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 09:37:08.069;2022-03-01 09:39:13.332; Duration: 0:02:05;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 09:39:18.958;2022-03-01 09:41:24.461; Duration: 0:02:06;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 09:41:29.906;2022-03-01 09:43:35.046; Duration: 0:02:06;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 09:43:40.542;2022-03-01 09:45:45.696; Duration: 0:02:05;stackAPI-Ansible_upgrade_all.3c5e7-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
