,Task,Start,Finish
72,stackAPI[Copy /var/lib/libvirt/images/tmp5201/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST3-SES1S1]  Duration: 0:00:41,2022-03-01 03:43:09.097,2022-03-01 03:43:50.108
73,stackAPI[Copy /var/lib/libvirt/images/tmp5201/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST3-PA1S1]  Duration: 0:00:32,2022-03-01 03:44:22.526,2022-03-01 03:44:54.729
74,stackAPI[Upload /resources/images/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/tmp3664. This may take some time.]  Duration: 0:00:53,2022-03-01 03:46:25.343,2022-03-01 03:47:18.087
75,stackAPI[Copy /var/lib/libvirt/images/tmp3664/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST4-EM1S2]  Duration: 0:00:37,2022-03-01 03:47:37.411,2022-03-01 03:48:14.579
76,stackAPI[Copy /var/lib/libvirt/images/tmp3664/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST4-SES1S2]  Duration: 0:00:41,2022-03-01 03:48:55.201,2022-03-01 03:49:36.212
77,stackAPI[Copy /var/lib/libvirt/images/tmp3664/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST4-PA1S2]  Duration: 0:00:40,2022-03-01 03:50:06.072,2022-03-01 03:50:46.526
78,stackAPI[Wait for system to become reachable]  Duration: 0:01:49,2022-03-01 03:51:22.322,2022-03-01 03:53:11.864
79,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:10:05,2022-03-01 03:55:14.666,2022-03-01 04:05:19.943
80,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:11,2022-03-01 04:05:33.266,2022-03-01 04:09:44.722
81,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:11,2022-03-01 04:09:57.183,2022-03-01 04:14:08.714
82,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:12,2022-03-01 04:14:21.865,2022-03-01 04:18:33.580
83,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:04:12,2022-03-01 04:18:46.442,2022-03-01 04:22:58.472
84,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:10,2022-03-01 04:23:16.871,2022-03-01 04:25:26.046
85,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:10,2022-03-01 04:25:44.746,2022-03-01 04:27:54.686
86,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 04:28:10.809,2022-03-01 04:30:16.287
87,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 04:30:27.602,2022-03-01 04:32:33.588
88,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:00:36,2022-03-01 04:32:39.736,2022-03-01 04:33:15.913
89,stackAPI[Delete OMI user]  Duration: 4:28:21,2022-03-01 04:33:35.574,2022-03-01 09:01:56.830
90,stackAPI[Remove app state file]  Duration: 0:15:18,2022-03-01 09:07:39.948,2022-03-01 09:22:57.219
91,stackAPI[Fetch message log files]  Duration: 0:00:38,2022-03-01 09:23:28.615,2022-03-01 09:24:06.340
92,stackAPI[Generate ISO file - ASTL5HOST3-EM1S1-cidata.iso]  Duration: 0:00:33,2022-03-01 09:24:27.978,2022-03-01 09:25:00.334
93,stackAPI[Copy image to /var/lib/libvirt/images/ASTL5HOST3-EM1S1]  Duration: 0:00:35,2022-03-01 09:25:03.540,2022-03-01 09:25:38.802
94,stackAPI[Upload /resources/images/MCP-22.0.0.0.4184.qcow2 to /var/lib/libvirt/images/tmp. This may take some time.]  Duration: 0:00:53,2022-03-01 09:25:41.841,2022-03-01 09:26:34.454
95,stackAPI[Copy MCP-22.0.0.0.4184.qcow2 image to ASTL5HOST3-EM1S1 VM dir on kvm_provider_access_ASTL53 host]  Duration: 0:00:40,2022-03-01 09:26:49.833,2022-03-01 09:27:29.512
96,stackAPI[Successfully started the VM : ASTL5HOST3-EM1S1]  Duration: 0:00:33,2022-03-01 09:27:53.251,2022-03-01 09:28:26.494
97,stackAPI[Wait for system to become reachable]  Duration: 0:01:07,2022-03-01 09:28:26.494,2022-03-01 09:29:33.849
98,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 09:30:33.763,2022-03-01 09:32:39.679
99,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 09:32:45.935,2022-03-01 09:34:51.901
100,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 09:34:57.369,2022-03-01 09:37:02.475
101,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 09:37:08.069,2022-03-01 09:39:13.332
102,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 09:39:18.958,2022-03-01 09:41:24.461
103,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 09:41:29.906,2022-03-01 09:43:35.046
104,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 09:43:40.542,2022-03-01 09:45:45.696
105,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 09:45:51.216,2022-03-01 09:47:56.342
106,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 09:48:01.750,2022-03-01 09:50:06.933
107,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 09:50:12.383,2022-03-01 09:52:17.664
108,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 09:52:23.068,2022-03-01 09:54:28.332
109,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 09:54:33.914,2022-03-01 09:56:39.165
